      Nombre             Puntos            Fecha          Vidas
--------------------   ----------   -------------------   -----
Luis                 -          0 - 18/08/2024 13:46:52 -     1
Pepe                 -          3 - 18/08/2024 13:47:13 -     1
este si :)           -          0 - 18/08/2024 13:50:49 -     1
Luis                 -         25 - 19/08/2024 11:24:24 -     5
luis                 -         17 - 19/08/2024 12:25:56 -     5
pepe                 -          0 - 19/08/2024 12:41:08 -     5
O?                   -          0 - 19/08/2024 13:01:00 -     5
ultimo               -        113 - 19/08/2024 14:06:43 -     5
Ultimo               -        375 - 19/08/2024 14:08:48 -     5
otro Ulitimo         -        356 - 19/08/2024 14:16:19 -     5
Luis                 -         15 - 19/08/2024 14:27:48 -     5
luisss               -          0 - 19/08/2024 14:29:01 -     5
a ver....            -          3 - 19/08/2024 14:30:09 -     5
pepe                 -         10 - 19/08/2024 14:33:09 -     5
lusi                 -        114 - 19/08/2024 20:30:49 -     5
Luis                 -         53 - 19/08/2024 20:43:14 -     5
luisd.sdf            -          0 - 19/08/2024 20:47:41 -     5
Luis                 -         -4 - 19/08/2024 20:57:52 -     5
Luis                 -         19 - 19/08/2024 21:06:56 -     5
